RNum,Type,Dealer Name,Phone,Address
30,Penjualan,Hyundai Grand Metropolitan,"Grand Metropolitan Lt. 1 Unit 19, Jl. KH. Noer Ali, RT.007/RW.003, Pekayon Jaya, Kec. Bekasi Selatan, Kota Bekasi",0813-88988585
31,Appointed Body &amp; Paint,Autoglad Pekayon,"Jl. Raya Pekayon No. 25 Jakasetia, Bekasi 17147, Indonesia",021-22100777
32,"Penjualan,Servis dan Suku Cadang,AC TYPE,Doty",Hyundai Summarecon Bekasi,"AXC Summarecon Bekasi, Jalan Bulevar Timur Blok VA No. 9-10 Summarecon Bekasi, Marga Mulya, Kec. Bekasi Utara, Kota Bekasi, Jawa Barat",021-28519427
33,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Cimanggis,"Jl. Raya Bogor KM 29 No. 18, Mekarsari, Cimanggis, Depok",021-22819393
34,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Narogong,"Jl. Raya Narogong No.33, RT.010/RW.002, Bojong Rawalumbu, Kec. Rawalumbu, Kota Bks, Jawa Barat",021-82772810
35,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Bintaro,"Jl. CBD blok CE No. B-03, Parigi, Kec. Pd. Aren, Jakarta, Daerah Khusus Ibukota Jakarta",021-22211777
36,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Cipondoh,"Jl. Hasyim Ashari No.61, Cipondoh, Kota Tangerang, Banten",n/a
37,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Margonda,"Jl. Margonda Raya No. 242, Pondok Cina, Kecamatan Beji, Kota Depok, Jawa Barat",021-77201199
38,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Bekasi Timur,"Jl. Diponegoro No.2, Jatimulya, Kec. Bekasi Tim., Kabupaten Bekasi, Jawa Barat",021-8817577
39,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Cibubur,"Jl. Alternatif Cibubur Transyogi No. 25 ,Cibubur, Bekasi",021-84312000
40,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Sawangan,"Jl. Raya Ciputat Parung, Desa/Kelurahan Serua, Kec. Bojongsari, Kota Depok, Jawa Barat",n/a
41,"Penjualan,Servis dan Suku Cadang,AC TYPE,Authorized Body &amp; Paint",Hyundai Tangerang City,"Jl. Jenderal Sudirman No. 74, RT.004/RW.006, Babakan, Kec. Tangerang, Kota Tangerang, Banten",021-55701871
